
----------------------------------------------------------------------------
Started at: 23-Sep-2024 17:01:25

START	233.091		0
Display	Stimulus	Tag	Time
STIM	Blank		0.10318
TRIGGER	StimTracker	2	3.0264
STIM	Soundfile	1000Hz.wav	3.0159
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	3.9842
STIM	Soundfile	1000Hz.wav	3.9825
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	4.6482
STIM	Soundfile	1000Hz.wav	4.6475
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	5.3215
STIM	Soundfile	1000Hz.wav	5.3202
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	6.0197
STIM	Soundfile	1000Hz.wav	6.0161
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	6.6833
STIM	Soundfile	1000Hz.wav	6.6811
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	7.3232
STIM	Soundfile	1000Hz.wav	7.3229
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	7.9649
STIM	Soundfile	1000Hz.wav	7.9647
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	8.6068
STIM	Soundfile	1000Hz.wav	8.6065
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	9.2486
STIM	Soundfile	1000Hz.wav	9.2483
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	9.8903
STIM	Soundfile	1000Hz.wav	9.8901
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	10.5321
STIM	Soundfile	1000Hz.wav	10.5319
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	11.1739
STIM	Soundfile	1000Hz.wav	11.1736
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	11.8157
STIM	Soundfile	1000Hz.wav	11.8154
TIMEOUT	TIMEOUT	-1	-1	Soundfile	1000Hz.wav
TRIGGER	StimTracker	2	12.4574
STIM	Soundfile	1000Hz.wav	12.4572
TRIGGER	StimTracker	8	49.5712
TRIGGER	StimTracker	16	49.6378
TRIGGER	StimTracker	16	122.7406
TRIGGER	StimTracker	16	228.8782
TRIGGER	StimTracker	16	378.2622
